horse_name,horse_id,sex_age_latest,starts,wins,top2,top3,win_rate,quinella_rate,show_rate,avg_finish,avg_last3f,best_last3f,first_race_date,latest_race_date,latest_course,latest_surface,latest_distance_m,latest_finish,condition_starts_json
アイアムアッパレ,pw01dud102023102893/98,牡2,2,0,0,0,0.0,0.0,0.0,15.5,38.05,37.7,2025-07-13,2025-12-14,中山,芝,000,16,"{""中山|芝|000"": 1, ""福島|芝|800"": 1}"
アイアムアヒーロー,pw01dud102023102209/94,牡2,1,0,0,0,0.0,0.0,0.0,14.0,40.4,40.4,2025-10-11,2025-10-11,東京,ダート,400,14,"{""東京|ダート|400"": 1}"
アイアムイチバン,pw01dud102022103183/94,牡3,2,1,1,1,0.5,0.5,0.5,5.0,37.5,36.7,2025-03-29,2025-04-26,東京,ダート,400,1,"{""中山|ダート|200"": 1, ""東京|ダート|400"": 1}"
アイアムイチリュウ,pw01dud102017101159/89,牡8,1,0,0,0,0.0,0.0,0.0,8.0,40.4,40.4,2025-01-11,2025-01-11,中山,ダート,800,8,"{""中山|ダート|800"": 1}"
アイアムコロンブス,pw01dud102023103601/AF,牡2,2,0,0,0,0.0,0.0,0.0,7.5,34.45,34.4,2025-11-02,2025-11-30,東京,芝,000,8,"{""東京|芝|000"": 2}"
アイアムステキ,pw01dud102023102210/99,牝2,1,0,0,0,0.0,0.0,0.0,5.0,33.6,33.6,2025-10-18,2025-10-18,東京,芝,400,5,"{""東京|芝|400"": 1}"
アイアムユウシュン,pw01dud102021103204/2C,牡4,3,0,0,0,0.0,0.0,0.0,9.0,37.4333,35.7,2025-01-26,2025-12-28,中山,ダート,200,12,"{""中山|ダート|200"": 2, ""福島|ダート|150"": 1}"
アイアムルンルン,pw01dud102022103184/07,牝3,3,0,0,0,0.0,0.0,0.0,11.6667,36.3667,35.8,2025-03-01,2025-05-25,東京,芝,800,11,"{""小倉|芝|200"": 1, ""新潟|芝|000"": 1, ""東京|芝|800"": 1}"
アイアンオバーカム,pw01dud102022100587/57,牝3,9,0,0,0,0.0,0.0,0.0,5.8889,38.6444,37.2,2025-01-06,2025-09-15,中山,ダート,800,8,"{""中山|ダート|200"": 2, ""中山|ダート|800"": 2, ""新潟|ダート|200"": 2, ""東京|ダート|300"": 1, ""東京|ダート|400"": 1, ""福島|ダート|150"": 1}"
アイアンクラッド,pw01dud102023100232/C1,牡2,1,0,0,0,0.0,0.0,0.0,8.0,39.3,39.3,2025-12-27,2025-12-27,中山,ダート,200,8,"{""中山|ダート|200"": 1}"
アイアンソリッド,pw01dud102022100588/CA,牝3,9,1,3,4,0.111111,0.333333,0.444444,5.4444,37.8889,37.1,2025-01-12,2025-12-21,中京,ダート,200,6,"{""中京|ダート|200"": 2, ""中山|ダート|200"": 2, ""新潟|ダート|200"": 2, ""東京|ダート|400"": 2, ""福島|ダート|150"": 1}"
アイアンナックル,pw01dud102023100633/F8,牡2,2,0,0,1,0.0,0.0,0.5,4.5,36.8,36.5,2025-10-11,2025-10-26,東京,ダート,400,3,"{""東京|ダート|400"": 2}"
アイアンパイク,pw01dud102023102633/D6,牝2,1,0,1,1,0.0,1.0,1.0,2.0,34.8,34.8,2025-12-20,2025-12-20,中山,芝,800,2,"{""中山|芝|800"": 1}"
アイアンブランド,pw01dud102023100099/E4,牝2,3,0,0,0,0.0,0.0,0.0,12.0,38.9667,35.8,2025-09-28,2025-12-28,中山,芝,200,13,"{""中山|ダート|200"": 1, ""中山|芝|200"": 1, ""東京|ダート|400"": 1}"
アイウィル,pw01dud102021103502/D9,牡4,8,1,2,2,0.125,0.25,0.25,5.875,38.3125,37.0,2025-01-19,2025-10-25,新潟,ダート,800,8,"{""中山|ダート|800"": 3, ""函館|ダート|700"": 1, ""新潟|ダート|800"": 1, ""札幌|ダート|700"": 2, ""東京|ダート|600"": 1}"
アイオブザストーム,pw01dud102020104160/F2,牝5,6,0,0,0,0.0,0.0,0.0,12.0,35.4,33.6,2025-01-06,2025-08-31,札幌,芝,200,15,"{""中京|芝|400"": 1, ""中京|芝|600"": 1, ""函館|芝|200"": 1, ""札幌|芝|200"": 3}"
アイオリア,pw01dud102022104310/1C,牡3,6,2,2,3,0.333333,0.333333,0.5,4.0,38.05,35.9,2025-01-05,2025-10-19,東京,ダート,600,7,"{""中山|ダート|800"": 2, ""札幌|ダート|700"": 2, ""東京|ダート|600"": 1, ""阪神|ダート|800"": 1}"
アイオロステソーロ,pw01dud102023106728/F2,牡2,4,0,0,0,0.0,0.0,0.0,11.75,37.55,34.9,2025-06-14,2025-11-16,東京,ダート,400,12,"{""函館|ダート|000"": 1, ""函館|芝|000"": 1, ""東京|ダート|400"": 2}"
アイカチャン,pw01dud102022103591/82,牝3,3,0,0,0,0.0,0.0,0.0,13.0,37.3,36.6,2025-02-09,2025-03-01,中山,芝,800,9,"{""中山|芝|800"": 1, ""京都|ダート|200"": 1, ""小倉|芝|200"": 1}"
アイカンアズーラ,pw01dud102023102036/09,牝2,3,0,1,1,0.0,0.333333,0.333333,3.6667,37.8667,36.8,2025-10-25,2025-11-29,京都,ダート,400,5,"{""京都|ダート|400"": 3}"
アイガー,pw01dud102022101641/85,牝3,2,0,0,0,0.0,0.0,0.0,9.5,40.25,39.6,2025-03-01,2025-03-23,中山,ダート,800,12,"{""中山|ダート|800"": 2}"
アイガーリー,pw01dud102023103474/16,牡2,2,1,1,2,0.5,0.5,1.0,2.0,34.45,33.7,2025-09-15,2025-11-15,京都,芝,600,3,"{""京都|芝|600"": 1, ""阪神|芝|600"": 1}"
アイキャンドウイッ,pw01dud102019105793/11,牡6,6,0,0,0,0.0,0.0,0.0,7.0,35.5167,34.4,2025-02-10,2025-09-28,中山,芝,000,11,"{""中山|芝|000"": 1, ""中山|芝|600"": 1, ""京都|芝|800"": 1, ""小倉|芝|800"": 1, ""福島|芝|800"": 1, ""阪神|芝|000"": 1}"
