course,data_status,distance_m,field_size,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,source_url,surface,track_condition,weather,weight_rule
新潟,PASS_HTML,2850,12,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,良,小雨,定量
新潟,PASS_HTML,2850,13,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,良,曇,定量
札幌,QUARANTINED_HTML:track_condition,1700,14,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,,晴,馬齢
札幌,QUARANTINED_HTML:track_condition,1700,14,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,,晴,馬齢
中京,PASS_HTML,2000,11,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,良,曇,馬齢
中京,PASS_HTML,1400,10,2歳,未勝利,2026-08-30,pw01sde0107202603040120260830,2歳未勝利,01,[指定],9時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603040120260830%2F52,芝,良,晴,馬齢
札幌,PASS_HTML,1500,13,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,稍重,晴,馬齢
札幌,PASS_HTML,1800,11,2歳,未勝利,2026-08-29,pw01sde1001202602030320260829,2歳未勝利,03,（混合）［指定］,11時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,芝,稍重,晴,馬齢
札幌,QUARANTINED_HTML:track_condition,1700,14,2歳,新馬,2026-08-29,pw01sde1001202602030520260829,メイクデビュー札幌,05,（混合）［指定］,12時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,ダート,,晴,馬齢
札幌,QUARANTINED_HTML:track_condition,1000,12,3歳,未勝利,2026-08-29,pw01sde1001202602030420260829,3歳未勝利,04,（混合）［指定］,11時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,ダート,,晴,馬齢
札幌,PASS_HTML,1500,14,3歳,未勝利,2026-08-29,pw01sde1001202602030620260829,3歳未勝利,06,（混合）［指定］,12時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030620260829%2FA5,芝,稍重,晴,馬齢
札幌,PASS_HTML,1200,16,3歳以上,1勝クラス,2026-08-29,pw01sde1001202602030720260829,3歳以上1勝クラス,07,（混合）［指定］,13時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030720260829%2F5A,芝,稍重,晴,定量
札幌,QUARANTINED_HTML:track_condition,1700,11,3歳以上,1勝クラス,2026-08-29,pw01sde1001202602030820260829,3歳以上1勝クラス,08,[指定],13時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030820260829%2F0F,ダート,,晴,定量
札幌,PASS_HTML,1200,12,2歳,オープン,2026-08-29,pw01sde1001202602031020260829,すずらん賞,10,（国際）（特指）,14時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,芝,稍重,晴,別定
札幌,PASS_HTML,1800,12,3歳以上,1勝クラス,2026-08-29,pw01sde1001202602030920260829,3歳以上1勝クラス,09,（特指）,14時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,芝,稍重,晴,定量
札幌,PASS_HTML,2000,14,3歳以上,2勝クラス,2026-08-29,pw01sde1001202602031120260829,札幌日刊スポーツ杯,11,（混合）［指定］,15時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031120260829%2F6E,芝,稍重,晴,定量
札幌,QUARANTINED_HTML:track_condition,1700,12,3歳以上,2勝クラス,2026-08-29,pw01sde1001202602031220260829,千歳特別,12,（混合）［指定］,16時01分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031220260829%2F23,ダート,,晴,定量
札幌,QUARANTINED_HTML:track_condition,1700,14,3歳,未勝利,2026-08-30,pw01sde1001202602040320260830,3歳未勝利,03,[指定],11時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040320260830%2FAE,ダート,,曇,馬齢
札幌,PASS_HTML,1200,14,2歳,未勝利,2026-08-30,pw01sde1001202602040220260830,2歳未勝利,02,（混合）［指定］,10時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040220260830%2FF9,芝,良,晴,馬齢
札幌,PASS_HTML,2000,16,3歳,未勝利,2026-08-30,pw01sde1001202602040420260830,3歳未勝利,04,（混合）［指定］,11時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040420260830%2F63,芝,良,曇,馬齢
札幌,PASS_HTML,1800,8,2歳,新馬,2026-08-30,pw01sde1001202602040520260830,メイクデビュー札幌,05,[指定],12時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040520260830%2F18,芝,良,晴,馬齢
札幌,QUARANTINED_HTML:track_condition,1000,12,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602040720260830,3歳以上1勝クラス,07,（混合）［指定］,13時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040720260830%2F82,ダート,,晴,定量
札幌,QUARANTINED_HTML:track_condition,1700,12,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602040620260830,3歳以上1勝クラス,06,牝［指定］,12時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040620260830%2FCD,ダート,,晴,定量
札幌,PASS_HTML,1500,14,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602040820260830,3歳以上1勝クラス,08,[指定],13時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040820260830%2F37,芝,良,晴,定量
札幌,QUARANTINED_HTML:track_condition,1700,11,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602040920260830,3歳以上1勝クラス,09,（特指）,14時20分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602040920260830%2FEC,ダート,,晴,定量
新潟,QUARANTINED_HTML:track_condition,1800,15,3歳,未勝利,2026-08-29,pw01sde1004202603030220260829,3歳未勝利,02,[指定],10時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030220260829%2FE0,ダート,,小雨,馬齢
札幌,PASS_HTML,1200,16,3歳以上,2勝クラス,2026-08-30,pw01sde1001202602041020260830,HBC賞,10,（混合）［指定］,14時50分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041020260830%2FE1,芝,良,晴,ハンデ
札幌,PASS_HTML,2600,14,3歳以上,1勝クラス,2026-08-30,pw01sde1001202602041220260830,北辰特別,12,（混合）（特指）,16時01分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041220260830%2F4B,芝,良,曇,定量
札幌,PASS_HTML,1500,14,3歳以上,3勝クラス,2026-08-30,pw01sde1001202602041120260830,日高ステークス,11,（混合）（特指）,15時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602041120260830%2F96,芝,良,曇,定量
新潟,PASS_HTML,1600,11,2歳,未勝利,2026-08-29,pw01sde1004202603030320260829,2歳未勝利,03,（混合）［指定］,10時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030320260829%2F95,芝,良,小雨,馬齢
新潟,PASS_HTML,1400,18,2歳,新馬,2026-08-29,pw01sde1004202603030420260829,メイクデビュー新潟,04,（混合）［指定］,11時15分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030420260829%2F4A,芝,良,小雨,馬齢
新潟,PASS_HTML,2200,18,3歳,未勝利,2026-08-29,pw01sde1004202603030520260829,3歳未勝利,05,（混合）［指定］,11時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030520260829%2FFF,芝,稍重,小雨,馬齢
新潟,QUARANTINED_HTML:track_condition,1800,15,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603030620260829,新発田城特別,06,（混合）［指定］,14時35分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030620260829%2FB4,ダート,,小雨,定量
新潟,PASS_HTML,2000,17,3歳以上,2勝クラス,2026-08-29,pw01sde1004202603030720260829,赤倉特別,07,（混合）［指定］,15時10分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030720260829%2F69,芝,稍重,曇,ハンデ
新潟,PASS_HTML,2200,13,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603030920260829,3歳以上1勝クラス,09,（混合）（特指）,16時25分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030920260829%2FD3,芝,稍重,曇,定量
新潟,QUARANTINED_HTML:track_condition,1800,11,3歳以上,オープン,2026-08-29,pw01sde1004202603030820260829,BSN賞,08,（国際）（特指）,15時45分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603030820260829%2F1E,ダート,,曇,別定
新潟,PASS_HTML,2000,18,3歳,未勝利,2026-08-29,pw01sde1004202603031120260829,3歳未勝利,11,[指定],17時30分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031120260829%2F7D,芝,稍重,曇,馬齢
新潟,PASS_HTML,1400,18,3歳以上,1勝クラス,2026-08-29,pw01sde1004202603031020260829,3歳以上1勝クラス,10,（混合）［指定］,17時00分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031020260829%2FC8,芝,稍重,曇,定量
新潟,QUARANTINED_HTML:track_condition,1200,15,3歳,未勝利,2026-08-29,pw01sde1004202603031220260829,3歳未勝利,12,[指定],18時05分,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1004202603031220260829%2F32,ダート,,曇,馬齢
