bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
単勝,QUARANTINED_HTML:track_condition,450,1,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,13
複勝,QUARANTINED_HTML:track_condition,240,4,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,13
複勝,QUARANTINED_HTML:track_condition,2370,13,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1
複勝,QUARANTINED_HTML:track_condition,210,2,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,2
枠連,QUARANTINED_HTML:track_condition,12080,24,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1-8
ワイド,QUARANTINED_HTML:track_condition,7240,54,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1-13
ワイド,QUARANTINED_HTML:track_condition,840,6,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,2-13
ワイド,QUARANTINED_HTML:track_condition,10820,61,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1-2
馬連,QUARANTINED_HTML:track_condition,28170,53,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1-13
馬単,QUARANTINED_HTML:track_condition,35340,92,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,13-1
3連複,QUARANTINED_HTML:track_condition,53710,136,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,1-2-13
3連単,QUARANTINED_HTML:track_condition,339400,850,2026-08-29,pw01sde1001202602030120260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,13-1-2
単勝,PASS_HTML,970,4,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5
複勝,PASS_HTML,300,4,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5
複勝,PASS_HTML,680,7,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,12
複勝,PASS_HTML,250,3,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,6
枠連,PASS_HTML,3210,13,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,4-8
ワイド,PASS_HTML,1770,21,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-12
ワイド,PASS_HTML,940,10,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-6
ワイド,PASS_HTML,1650,19,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,6-12
馬連,PASS_HTML,4480,16,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-12
馬単,PASS_HTML,10100,36,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-12
3連複,PASS_HTML,8100,29,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-6-12
3連単,PASS_HTML,56720,177,2026-08-29,pw01sde1001202602030220260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,5-12-6
単勝,PASS_HTML,1550,3,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5
複勝,PASS_HTML,510,2,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5
複勝,PASS_HTML,560,4,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,9
複勝,PASS_HTML,530,3,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,3
枠連,PASS_HTML,2950,6,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5-7
ワイド,PASS_HTML,790,9,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5-9
ワイド,PASS_HTML,620,6,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,3-5
ワイド,PASS_HTML,750,7,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,3-9
馬連,PASS_HTML,4770,12,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5-9
馬単,PASS_HTML,7980,19,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5-9
3連複,PASS_HTML,4470,11,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,3-5-9
3連単,PASS_HTML,40800,97,2026-08-29,pw01sde1001202602030320260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030320260829%2F86,5-9-3
単勝,QUARANTINED_HTML:track_condition,450,4,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,5
複勝,QUARANTINED_HTML:track_condition,200,3,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,5
複勝,QUARANTINED_HTML:track_condition,1260,11,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,4
複勝,QUARANTINED_HTML:track_condition,1000,8,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,3
枠連,QUARANTINED_HTML:track_condition,4250,14,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,4-5
ワイド,QUARANTINED_HTML:track_condition,3140,27,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,4-5
ワイド,QUARANTINED_HTML:track_condition,2270,20,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,3-5
ワイド,QUARANTINED_HTML:track_condition,12030,52,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,3-4
馬連,QUARANTINED_HTML:track_condition,10140,28,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,4-5
馬単,QUARANTINED_HTML:track_condition,17330,44,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,5-4
3連複,QUARANTINED_HTML:track_condition,75790,114,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,3-4-5
3連単,QUARANTINED_HTML:track_condition,426900,595,2026-08-29,pw01sde1001202602030420260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030420260829%2F3B,5-4-3
単勝,QUARANTINED_HTML:track_condition,490,3,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1
複勝,QUARANTINED_HTML:track_condition,230,3,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1
複勝,QUARANTINED_HTML:track_condition,400,6,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,5
複勝,QUARANTINED_HTML:track_condition,1470,12,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,12
枠連,QUARANTINED_HTML:track_condition,3250,13,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-4
ワイド,QUARANTINED_HTML:track_condition,1720,16,2026-08-29,pw01sde1001202602030520260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030520260829%2FF0,1-5
