bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
単勝,QUARANTINED_HTML:track_condition,310,1,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,7
複勝,QUARANTINED_HTML:track_condition,150,2,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,7
複勝,QUARANTINED_HTML:track_condition,420,6,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,5
複勝,QUARANTINED_HTML:track_condition,200,4,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,3
枠連,QUARANTINED_HTML:track_condition,1110,3,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,5-6
ワイド,QUARANTINED_HTML:track_condition,930,10,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,5-7
ワイド,QUARANTINED_HTML:track_condition,490,4,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,3-7
ワイド,QUARANTINED_HTML:track_condition,1110,13,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,3-5
馬連,QUARANTINED_HTML:track_condition,2550,8,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,5-7
馬単,QUARANTINED_HTML:track_condition,4290,15,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,7-5
3連複,QUARANTINED_HTML:track_condition,4180,13,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,3-5-7
3連単,QUARANTINED_HTML:track_condition,20550,56,2026-08-01,pw01sde0101202601030120260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601030120260801%2F70,7-5-3
単勝,QUARANTINED_HTML:track_condition,3130,8,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,5
複勝,QUARANTINED_HTML:track_condition,570,8,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,5
複勝,QUARANTINED_HTML:track_condition,130,2,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,1
複勝,QUARANTINED_HTML:track_condition,130,1,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,8
枠連,QUARANTINED_HTML:track_condition,650,3,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,1-4
ワイド,QUARANTINED_HTML:track_condition,1530,19,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,1-5
ワイド,QUARANTINED_HTML:track_condition,1220,14,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,5-8
ワイド,QUARANTINED_HTML:track_condition,220,1,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,1-8
馬連,QUARANTINED_HTML:track_condition,5770,18,2026-08-02,pw01sde0101202601040120260802,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202601040120260802%2FA0,1-5
