body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_date,race_id,race_name,race_no,rating,sex_age,source_url,surface,time,trainer,平均1F,枠
408(+4),55.0,6  5,札幌,PASS_HTML,200,1,pw01dud102023105347/EC,ショウナンカリス,3,北村 友一,34.1,,01,01,3,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:08.9,加藤 士津八,,
428(+4),55.0,2  2,札幌,PASS_HTML,200,2,pw01dud102023105277/EB,ファニーバニー,4,鮫島 克駿,34.8,１ 1/4,01,01,1,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:09.1,杉山 佳明,,
388(-14),52.0,1  1,札幌,PASS_HTML,200,3,pw01dud102023103400/DA,ハルヒメ,2,▲小林 美駒,34.9,ハナ,01,01,2,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:09.1,矢嶋 大樹,,
434(-8),55.0,4  3,札幌,PASS_HTML,200,4,pw01dud102023105558/D1,カンレイスター,7,荻野 琢真,35.4,５,01,01,8,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:09.9,矢野 英一,,
424(-4),52.0,3  3,札幌,PASS_HTML,200,5,pw01dud102023109031/53,ココソラーレ,12,▲鷲頭 虎太,35.7,１ 1/4,01,01,10,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.1,天間 昭一,,
454(-2),55.0,4  5,札幌,PASS_HTML,200,6,pw01dud102023100772/F6,ストームサンダー,11,丹内 祐次,35.7,１／２,01,01,5,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.2,安達 昭夫,,
436(+8),55.0,11  10,札幌,PASS_HTML,200,7,pw01dud102023100986/34,サンタカリス,10,黛 弘人,34.8,アタマ,01,01,11,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.2,秋山 真一郎,,
460(0),52.0,9  7,札幌,PASS_HTML,200,8,pw01dud102023105359/E2,トーセンクリステル,8,▲舟山 瑠泉,35.3,１ 1/2,01,01,9,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.4,杉浦 宏昭,,
488(-2),55.0,7  7,札幌,PASS_HTML,200,9,pw01dud102023105738/13,モズプリフォール,5,佐々木 大輔,35.5,ハナ,01,01,4,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.4,矢作 芳人,,
450(+8),52.0,9  10,札幌,PASS_HTML,200,10,pw01dud102023100344/E8,オンマイビート,9,▲和田 陽希,35.4,３／４,01,01,12,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:10.6,松山 将樹,,
426(+6),52.0,7  7,札幌,PASS_HTML,200,11,pw01dud102023100672/C5,ナムラシンジロー,6,▲古川 奈穂,36.1,３,01,01,7,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:11.1,羽月 友彦,,
428(-6),55.0,12  12,札幌,PASS_HTML,200,12,pw01dud102023104705/9B,セイウンダイフク,1,池添 謙一,35.1,１ 3/4,01,01,6,2025-07-26,pw01sde1001202501010120250726,レース結果　JRA,01,,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010120250726%2F4C,芝,1:11.4,宮本 博,,
488(+2),55.0,2  2,札幌,PASS_HTML,000,1,pw01dud102022110064/B7,エンジェルラダー,9,佐々木 大輔,36.0,,01,01,1,2025-07-26,pw01sde1001202501010220250726,レース結果　JRA,02,,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010220250726%2F01,ダート,0:59.5,木村 哲也,,
472(-4),57.0,6  6,札幌,PASS_HTML,000,2,pw01dud102022102799/8D,タイセイアビリティ,2,斎藤 新,35.6,アタマ,01,01,4,2025-07-26,pw01sde1001202501010220250726,レース結果　JRA,02,,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202501010220250726%2F01,ダート,0:59.5,小林 真也,,
