body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
552(+6),54.0,2  2  1  1,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023103168/3F,ベルアズーロ,13,▲小林 美駒,38.1,,03,02,1,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:44.6,,西村 真幸,晴,馬齢,,
456(+2),53.0,5  4  3  2,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud102023100785/5F,アズライトアスール,1,★河原田 菜々,38.8,８,03,02,13,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:45.9,,鈴木 孝志,晴,馬齢,,
518(+12),57.0,7  7  7  5,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud102023105838/44,ロードステラート,2,横山 和生,38.3,クビ,03,02,3,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:46.0,,武 英智,晴,馬齢,,
440(+6),55.0,11  11  9  8,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud102023103191/4A,ワンダーアスク,6,川又 賢治,38.7,４,03,02,6,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:46.6,,笹田 和秀,晴,馬齢,,
482(+10),57.0,9  9  10  8,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud102023105726/1D,ゴールデンダガー,9,横山 琉人,38.8,１ 1/2,03,02,2,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:46.9,,中舘 英二,晴,馬齢,,
478(+6),57.0,5  6  5  3,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud102023103483/B3,クールフィデル,10,落合 玄太,39.6,クビ,03,02,9,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:46.9,,和田 勇介,晴,馬齢,,
472(+2),57.0,7  7  7  8,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud102023100531/E1,ショウナンタヅナ,4,池添 謙一,39.2,クビ,03,02,10,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.0,,武市 康男,晴,馬齢,,
450(-2),57.0,13  13  14  11,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud102023102369/25,フロムザムーン,5,石川 倭,38.7,２ 1/2,03,02,8,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.4,,畑端 省吾,晴,馬齢,,
434(-2),57.0,11  11  11  11,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud102023106595/A7,アイムスティルミー,8,古川 吉洋,39.2,クビ,03,02,11,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,せん3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.4,,奥平 雅士,晴,馬齢,,
434(+6),53.0,4  5  5  5,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud102023105144/31,アスコットダンス,3,◇古川 奈穂,40.2,３／４,03,02,12,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.6,,高橋 康之,晴,馬齢,,
518(+2),57.0,1  1  2  3,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud102023101979/6C,サンオブザサン,12,斎藤 新,40.9,２,03,02,4,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.9,,高橋 一哉,晴,馬齢,,
464(+2),57.0,14  13  13  11,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud102023106570/48,メイショウタイザン,11,小沢 大仁,39.4,クビ,03,02,5,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:47.9,,高橋 義忠,晴,馬齢,,
414(0),55.0,9  9  11  11,札幌,QUARANTINED_HTML:track_condition,1700,13,pw01dud102023102197/0D,ダリアフレイバー,7,鮫島 克駿,40.4,４,03,02,14,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:48.6,,河嶋 宏樹,晴,馬齢,,
430(-2),57.0,3  3  3  5,札幌,QUARANTINED_HTML:track_condition,1700,14,pw01dud102023106863/24,アーデルブリックス,14,北村 友一,41.6,クビ,03,02,7,3歳,未勝利,2026-08-29,pw01sde1001202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030120260829%2F1C,ダート,1:48.7,,坂口 智康,晴,馬齢,,
460(0),55.0,2  2  2,札幌,PASS_HTML,1500,1,pw01dud102024100935/FD,タプティ,5,小沢 大仁,36.3,,03,02,4,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:30.0,稍重,岡田 稲男,晴,馬齢,,
492(-2),55.0,1  1  1,札幌,PASS_HTML,1500,2,pw01dud102024107318/99,バタフライ,12,原田 和真,36.9,３,03,02,7,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:30.5,稍重,松山 将樹,晴,馬齢,,
416(-2),55.0,7  8  5,札幌,PASS_HTML,1500,3,pw01dud102024100800/5D,ルギッドドランジュ,6,北村 友一,36.2,クビ,03,02,3,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:30.5,稍重,秋本 大介,晴,馬齢,,
466(+8),55.0,5  3  3,札幌,PASS_HTML,1500,4,pw01dud102024105934/35,フォルトゥナロッサ,3,浜中 俊,36.8,１ 1/4,03,02,1,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:30.7,稍重,武 幸四郎,晴,馬齢,,
456(+2),55.0,5  6  5,札幌,PASS_HTML,1500,5,pw01dud102024105638/6E,アヴレディール,10,吉田 隼人,37.0,３,03,02,2,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:31.2,稍重,松永 幹夫,晴,馬齢,,
436(-4),52.0,9  6  7,札幌,PASS_HTML,1500,6,pw01dud102024103622/CE,セールデュクール,1,▲和田 陽希,37.5,３,03,02,12,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:31.7,稍重,深山 雅史,晴,馬齢,,
436(-10),55.0,4  3  3,札幌,PASS_HTML,1500,7,pw01dud102024105494/A0,セイレイカ,4,横山 典弘,38.0,１ 1/4,03,02,6,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:31.9,稍重,昆 貢,晴,馬齢,,
442(+4),55.0,11  11  9,札幌,PASS_HTML,1500,8,pw01dud102024106326/D4,サトノパラディ,13,鮫島 克駿,37.1,クビ,03,02,8,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:32.0,稍重,平田 修,晴,馬齢,,
430(+4),51.0,9  9  9,札幌,PASS_HTML,1500,9,pw01dud102024103350/85,コイゾラ,7,★河原田 菜々,37.5,１ 1/2,03,02,9,2歳,未勝利,2026-08-29,pw01sde1001202602030220260829,2歳未勝利,02,牝［指定］,10時30分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030220260829%2FD1,芝,1:32.2,稍重,浅利 英明,晴,馬齢,,
