body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
480(+10),60.0,5  5  4  4,新潟,PASS_HTML,2850,1,pw01dud102018103590/EC,リッケンバッカー,6,小牧 加矢太,,,03,03,4,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡8,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:09.9,良,西村 真幸,小雨,定量,13.3,
468(-4),60.0,2  2  2  2,新潟,PASS_HTML,2850,2,pw01dud102018101615/FE,ウインシュクラン,1,上野 翔,,６,03,03,3,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,せん8,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:10.9,良,和田 正一郎,小雨,定量,13.4,
524(+12),60.0,3  3  2  1,新潟,PASS_HTML,2850,3,pw01dud102020102013/EC,オリンポスカズマ,10,小坂 忠士,,１,03,03,6,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡6,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:11.0,良,平田 修,小雨,定量,13.4,
526(-8),60.0,1  1  1  3,新潟,PASS_HTML,2850,4,pw01dud102021104770/B4,フォーディアライフ,9,高田 潤,,２,03,03,2,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,せん5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:11.3,良,矢嶋 大樹,小雨,定量,13.4,
486(-4),58.0,4  4  5  5,新潟,PASS_HTML,2850,5,pw01dud102020102648/81,ラパンラピッド,11,△坂口 智康,,１ 3/4,03,03,1,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,せん6,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:11.6,良,武井 亮,小雨,定量,13.4,
474(-4),60.0,6  6  6  6,新潟,PASS_HTML,2850,6,pw01dud102022110139/F7,アスクアットバット,4,黒岩 悠,,９,03,03,10,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,せん4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:13.1,良,加藤 公太,小雨,定量,13.6,
466(-1),60.0,9  9  9  7,新潟,PASS_HTML,2850,7,pw01dud102018105047/AA,ホウオウサンデー,2,小野寺 祐太,,３,03,03,5,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡8,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:13.6,良,井上 智史,小雨,定量,13.6,
476(-6),60.0,7  7  7  7,新潟,PASS_HTML,2850,8,pw01dud102019104108/AB,エナジーグラン,8,難波 剛健,,大差,03,03,8,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡7,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:16.8,良,高橋 康之,小雨,定量,13.8,
476(0),60.0,7  7  7  9,新潟,PASS_HTML,2850,9,pw01dud102021110002/E5,ワールドシリーズ,5,中村 将之,,６,03,03,12,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:17.8,良,秋山 真一郎,小雨,定量,13.9,
518(-2),60.0,10  10  10  10,新潟,PASS_HTML,2850,10,pw01dud102019100768/75,マイネルニコラス,7,草野 太郎,,大差,03,03,7,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡7,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:20.0,良,畠山 吉宏,小雨,定量,14.0,
494(+6),60.0,10  10  10  10,新潟,PASS_HTML,2850,11,pw01dud102022106800/DF,コスモグラニット,3,大江原 圭,,クビ,03,03,9,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牡4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:20.0,良,清水 英克,小雨,定量,14.0,
486(+8),58.0,12  12  12  12,新潟,PASS_HTML,2850,12,pw01dud102022106590/DC,バダジェフスカ,12,伴 啓太,,大差,03,03,11,障害3歳以上,未勝利,2026-08-29,pw01sde0104202603030120260829,障害3歳以上未勝利,01,（混合）,9時40分,牝4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603030120260829%2F4C,障害,3:25.7,良,高橋 文雅,小雨,定量,14.4,
552(+6),54.0,2  2  1  1,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud102023103168/3F,ベルアズーロ,13,▲小林 美駒,38.1,,03,02,1,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:44.6,,西村 真幸,晴,馬齢,,
